# U   Np  Pu  Am  Cm  Total MA    Pu-238  Pu-239  Pu-240  Pu-241  Pu-242  U-235
9.20E-01    0.00E+00    7.62E-02    3.76E-03    0.00E+00    3.76E-03    4.80E-03    3.69E-02    1.21E-02    1.39E-02    8.56E-03    3.76E-03    2.30E-03
9.20E-01    0.00E+00    7.64E-02    3.60E-03    0.00E+00    3.60E-03    1.20E-03    5.24E-02    2.56E-03    8.96E-03    1.13E-02    3.60E-03    2.30E-03
9.20E-01    0.00E+00    7.97E-02    3.20E-04    0.00E+00    3.20E-04    6.48E-03    4.36E-02    2.19E-02    5.36E-03    2.32E-03    3.20E-04    2.30E-03
9.20E-01    0.00E+00    7.70E-02    3.04E-03    0.00E+00    3.04E-03    9.60E-04    5.10E-02    2.14E-02    3.12E-03    4.00E-04    3.04E-03    2.30E-03
9.20E-01    0.00E+00    7.62E-02    3.76E-03    0.00E+00    3.76E-03    1.44E-03    4.44E-02    2.04E-02    2.48E-03    7.52E-03    3.76E-03    2.30E-03
9.20E-01    0.00E+00    7.79E-02    2.08E-03    0.00E+00    2.08E-03    1.76E-03    4.28E-02    1.95E-02    9.04E-03    4.80E-03    2.08E-03    2.30E-03
9.20E-01    0.00E+00    7.62E-02    3.84E-03    0.00E+00    3.84E-03    5.76E-03    4.98E-02    3.92E-03    1.06E-02    6.08E-03    3.84E-03    2.30E-03
9.20E-01    0.00E+00    7.52E-02    4.80E-03    0.00E+00    4.80E-03    1.44E-03    4.46E-02    2.10E-02    1.28E-03    6.80E-03    4.80E-03    2.30E-03
9.20E-01    0.00E+00    7.73E-02    2.72E-03    0.00E+00    2.72E-03    3.68E-03    3.61E-02    1.79E-02    1.39E-02    5.68E-03    2.72E-03    2.30E-03
9.20E-01    0.00E+00    7.83E-02    1.68E-03    0.00E+00    1.68E-03    7.84E-03    3.98E-02    1.02E-02    6.88E-03    1.36E-02    1.68E-03    2.30E-03
9.20E-01    0.00E+00    7.90E-02    9.60E-04    0.00E+00    9.60E-04    1.76E-03    4.25E-02    1.94E-02    1.09E-02    4.56E-03    9.60E-04    2.30E-03
9.20E-01    0.00E+00    7.93E-02    7.20E-04    0.00E+00    7.20E-04    3.44E-03    5.41E-02    7.76E-03    6.40E-04    1.34E-02    7.20E-04    2.30E-03
9.20E-01    0.00E+00    7.77E-02    2.32E-03    0.00E+00    2.32E-03    4.56E-03    3.41E-02    1.34E-02    1.05E-02    1.52E-02    2.32E-03    2.30E-03
9.20E-01    0.00E+00    7.78E-02    2.16E-03    0.00E+00    2.16E-03    6.72E-03    3.83E-02    1.84E-02    1.13E-02    3.12E-03    2.16E-03    2.30E-03
