# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
26 64.1925 62.7469 1.62061e-16 0.0145517 7.26878 6.28697 0.538717 0.429711 0 0.0963713 0.538718 0.540634 0.523102 0.589257 3.61487 2.57868 1.69423 1.5609 0.913477 0.942897 0.523103 0.615234
27 66.285 64.7437 1.80475e-16 0.0143295 5.40067 4.4793 0.314325 0.263467 0 0.0753391 0.314325 0.353135 0.348615 0.391677 2.60032 1.78426 1.19444 1.09151 1.01727 0.806527 0.24003 0.405319
28 65.6775 64.1625 1.97416e-16 0.0145459 5.89889 4.97766 0.423607 0.334619 0 0.0866391 0.423608 0.435804 0.322447 0.408536 2.77558 1.95833 1.3783 1.23281 1.11276 0.9036 0.309802 0.474386
29 66.285 64.7251 9.22653e-17 0.0145181 5.32638 4.42755 0.38862 0.300559 0 0.104502 0.38862 0.419578 0.48006 0.499785 3.28041 2.02263 0.211455 0.638617 0.520065 0.469038 0.83439 0.79748
30 65.9475 64.4236 1.1919e-16 0.0143241 5.6833 4.74004 0.369202 0.306524 0 0.0897904 0.369203 0.410638 0.14526 0.248432 3.21388 2.05335 1.11366 1.13038 0.671828 0.715573 0.538672 0.592311
31 62.1 60.7131 3.68838e-17 0.0138447 9.4941 8.31363 0.4059 0.427187 0 0.104407 0.4059 0.545439 0.7821 0.743555 5.1183 3.58174 1.683 1.75246 0.2079 0.684859 1.7028 1.55101
32 65.475 63.9581 1.56277e-16 0.0142403 6.21833 5.1611 0.306675 0.335259 0 0.106307 0.306675 0.455806 0.371925 0.40124 3.06022 2.02183 0.763425 0.901532 0.880875 0.703331 1.14187 1.13317
33 66.3525 64.7857 1.90366e-17 0.013951 5.51761 4.57069 0.129892 0.150596 0 0.0519561 0.129893 0.216503 0.530865 0.443499 3.57487 2.15017 1.03349 1.14402 0.107303 0.552728 0.27108 0.280279
34 67.9725 66.3194 1.36474e-16 0.0145201 3.76168 2.93715 0.265815 0.210922 0 0.0916357 0.265815 0.317078 0.0684675 0.166584 2.38831 1.33219 0.024165 0.452541 0.769252 0.429241 0.511492 0.556595
35 62.8425 61.4341 1.62464e-17 0.0139365 8.71794 7.59253 0.43956 0.424852 0 0.106206 0.43956 0.544994 0.32967 0.392466 5.16483 3.49056 1.52015 1.63407 0.091575 0.62084 1.61172 1.4546
36 68.58 66.8844 1.09821e-16 0.0142733 3.40632 2.50369 0.01368 0.117094 0 0.0558617 0.01368 0.187229 0.16416 0.129744 2.15118 1.12594 0.17784 0.501635 0.61902 0.391451 0.29412 0.354918
37 64.665 63.1822 1.60061e-16 0.0144476 6.88756 5.83131 0.447435 0.430353 0 0.116503 0.447435 0.561304 0.10269 0.238202 3.44012 2.30333 1.12225 1.16717 0.902205 0.81603 1.3203 1.30657
38 66.2175 64.6722 1.49778e-16 0.0140174 5.60902 4.55004 0.173475 0.255543 0 0.0845238 0.173475 0.354085 0.06939 0.132106 2.81608 1.79275 1.16806 1.11068 0.844245 0.755016 0.711247 0.759492
39 67.5 65.8829 4.7901e-18 0.0138444 4.437 3.43434 0.063 0.164289 0 0.0763733 0.063 0.254506 0.1395 0.124966 3.2895 1.65814 0.135 0.60387 0.027 0.336822 0.846 0.710544
40 67.365 65.7453 8.55192e-17 0.0142445 4.48668 3.63357 0.14832 0.135801 0 0.0454688 0.14832 0.195515 0.41715 0.365856 2.73928 1.6405 0.755505 0.863772 0.48204 0.554694 0.0927 0.208756
41 61.965 60.601 1.99396e-16 0.0146867 9.4329 8.30795 0.6021 0.55085 0 0.100746 0.6021 0.666283 0.54189 0.617432 4.16452 3.12675 2.7797 2.45915 1.12392 1.20976 0.82287 0.894866
42 67.4325 65.8108 1.21549e-16 0.0139923 4.54923 3.48966 0.01827 0.182669 0 0.0788181 0.01827 0.275479 0.12789 0.115131 2.49842 1.42174 0.452182 0.658903 0.685125 0.516288 0.78561 0.777598
43 68.175 66.4992 9.63608e-17 0.014198 3.81352 2.86319 0.011475 0.134815 0 0.0636394 0.011475 0.212652 0.233325 0.176502 2.36002 1.26136 0.23715 0.554021 0.54315 0.414339 0.439875 0.45697
44 67.77 66.1289 1.38833e-16 0.0143205 4.07349 3.17836 0.15651 0.18039 0 0.0735006 0.15651 0.268211 0.19458 0.214745 2.30535 1.36656 0.42723 0.624179 0.78255 0.522556 0.36378 0.450323
45 66.96 65.38 4.38134e-17 0.0137049 5.00472 3.91539 0.03528 0.18568 0 0.0789316 0.03528 0.278317 0.06048 0.0664334 3.21552 1.74245 0.51912 0.781553 0.24696 0.464179 0.96264 0.860772
46 66.4875 64.9292 9.38859e-17 0.0142726 5.19278 4.2349 0.319725 0.290264 0 0.104154 0.319725 0.408691 0.203963 0.272946 3.20276 1.89864 0.2646 0.643462 0.5292 0.482468 0.99225 0.937385
47 65.5425 64.0221 1.05398e-16 0.0142458 6.13462 5.23339 0.322875 0.248516 0 0.0566146 0.322875 0.319377 0.12915 0.218833 3.4031 2.23979 1.91788 1.67804 0.59409 0.861778 0.090405 0.234952
48 68.715 67.0278 7.05182e-17 0.0144289 3.07476 2.37087 0.21024 0.110561 0 0.0483786 0.21024 0.173368 0.11169 0.166674 2.47689 1.22749 0.009855 0.469617 0.397485 0.338012 0.07884 0.169079
49 68.445 66.773 7.12687e-17 0.0140603 3.55144 2.6892 0.003555 0.0731806 0 0.0257038 0.003555 0.112945 0.067545 0.0623042 2.36407 1.22468 0.679005 0.754003 0.401715 0.480399 0.039105 0.167815
50 66.2175 64.6774 1.32338e-16 0.0141672 5.52229 4.59096 0.260212 0.231127 0 0.0620267 0.260213 0.307321 0.0520425 0.14625 2.94907 1.90284 1.60753 1.4079 0.745942 0.822258 0.167692 0.311708
51 67.2975 65.6843 3.67081e-17 0.0138587 4.6931 3.67788 0.009405 0.137653 0 0.0603064 0.009405 0.211818 0.268043 0.202528 3.07073 1.68364 0.634838 0.840997 0.20691 0.476746 0.512573 0.473968
52 69.0525 67.3235 4.65398e-17 0.0143384 2.90624 2.15346 0.041265 0.0573288 0 0.0242805 0.041265 0.0959477 0.15327 0.123201 2.38158 1.09561 0.07074 0.492276 0.262328 0.319629 0.0383175 0.122746
53 66.825 65.2494 1.39552e-16 0.0137961 5.175 4.11986 0 0.144819 0 0.0494618 1.39552e-16 0.208077 0.284625 0.228238 2.53057 1.61751 1.31445 1.15324 0.7866 0.743074 0.25875 0.377799
54 65.9475 64.416 7.73122e-17 0.0140724 5.8104 4.87118 0.2421 0.213564 0 0.0593484 0.2421 0.286985 0.284467 0.307395 3.41966 2.1684 1.45865 1.37801 0.43578 0.723634 0.211837 0.293743
55 68.7488 67.0575 3.80693e-17 0.0141776 3.17647 2.33493 0.0747787 0.109982 0 0.0557294 0.0747788 0.179889 0.039015 0.0628432 2.6075 1.18456 0.0065025 0.481501 0.214583 0.310568 0.308869 0.29546
56 66.825 65.2342 1.1109e-16 0.0140023 5.10255 4.02666 0.07245 0.213395 0 0.0869018 0.07245 0.314299 0.243225 0.216366 2.80485 1.65088 0.450225 0.698512 0.626175 0.527346 0.978075 0.933556
57 67.1625 65.5737 3.94784e-17 0.0138594 4.73107 3.73899 0.106425 0.175792 0 0.0710324 0.106425 0.260684 0.0919125 0.114028 3.17824 1.74179 0.653063 0.855147 0.222525 0.484519 0.585337 0.543514
58 63.585 62.1437 2.38866e-17 0.0136651 8.17097 7.01594 0.244035 0.309274 0 0.0900076 0.244035 0.412946 0.69003 0.618761 4.64508 3.1003 1.43055 1.52784 0.13464 0.630313 1.27066 1.13872
59 67.0275 65.4286 1.27033e-16 0.014271 4.7736 3.80594 0.1989 0.234528 0 0.0912685 0.1989 0.340067 0.253597 0.270854 2.70007 1.62026 0.353047 0.636675 0.71604 0.522301 0.750847 0.755845
60 67.905 66.254 5.52139e-17 0.0144427 3.86568 3.1467 0.22932 0.118738 0 0.0385352 0.22932 0.171716 0.348075 0.339146 2.80508 1.55907 0.39312 0.684488 0.31122 0.436584 0.00819 0.127413
61 68.04 66.3779 8.8521e-17 0.0141229 3.93624 2.96893 0.02376 0.145743 0 0.0680712 0.02376 0.227938 0.18216 0.147179 2.47896 1.31316 0.25344 0.571571 0.49896 0.418389 0.52272 0.518631
62 67.5675 65.9509 1.10092e-16 0.0142663 4.20201 3.28123 0.23049 0.230495 0 0.0963756 0.23049 0.341137 0.0044325 0.10419 2.70383 1.47368 0.0753525 0.499029 0.62055 0.430168 0.79785 0.774172
63 66.15 64.6154 1.49451e-16 0.0144841 5.44635 4.57402 0.40365 0.291878 0 0.0790505 0.40365 0.385413 0.23985 0.33515 2.91915 1.93732 1.2168 1.15072 0.8424 0.779381 0.22815 0.371456
64 62.505 61.1139 8.75949e-17 0.0141154 9.01076 7.87998 0.484245 0.463187 0 0.102129 0.484245 0.579431 0.43677 0.494488 4.76649 3.36089 2.06042 1.97582 0.49374 0.857073 1.25334 1.19171
65 67.7025 66.0672 1.51722e-16 0.0141257 4.25023 3.27052 0.0472725 0.160349 0 0.0648258 0.0472725 0.239301 0.18909 0.172573 2.17883 1.32423 0.657517 0.721555 0.855203 0.582672 0.369585 0.46949
66 66.15 64.6104 1.70208e-16 0.014065 5.65695 4.61497 0.19305 0.255745 0 0.0814569 0.19305 0.351267 0.234 0.262833 2.691 1.7875 1.19925 1.11131 0.9594 0.792266 0.5733 0.661051
67 67.095 65.5066 1.10516e-16 0.0139289 4.81671 3.80337 0.08829 0.183436 0 0.068495 0.08829 0.26586 0.044145 0.0819527 2.70756 1.59641 0.97119 0.971743 0.622935 0.63261 0.47088 0.520657
