NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
26 66.7339 65.0889 1.09309e-16 0.0149381 4.90272 4.12498 0.36336 0.258542 0 0.0880708 0.36336 0.361551 0.352827 0.400393 2.4382 1.57981 1.14274 1.03448 0.616131 0.656268 0.352827 0.454036
27 66.7339 65.1506 1.66298e-16 0.0144585 4.97645 4.09953 0.289634 0.237806 0 0.0738353 0.289634 0.3261 0.321231 0.359914 2.39607 1.6141 1.10061 1.00303 0.937362 0.736645 0.221175 0.385841
28 66.7339 65.1326 1.6443e-16 0.0146939 4.91325 4.08426 0.352827 0.262214 0 0.0824869 0.352827 0.359395 0.26857 0.343249 2.31181 1.56539 1.14801 1.01593 0.92683 0.737504 0.258038 0.42219
29 66.7339 65.1267 8.50177e-17 0.0146655 4.90799 4.05469 0.358093 0.273276 0 0.103152 0.358093 0.391094 0.442351 0.457667 3.02273 1.8121 0.194845 0.610193 0.479213 0.439637 0.768848 0.735094
30 66.7339 65.1405 1.03703e-16 0.0145056 4.94485 4.07351 0.321231 0.258534 0 0.0875503 0.321231 0.36059 0.126386 0.221108 2.79629 1.71066 0.968959 0.983427 0.584535 0.630447 0.468681 0.527867
31 66.7339 65.0244 1.96195e-17 0.0149347 5.05017 4.19811 0.215909 0.236428 0 0.1004 0.215909 0.351763 0.41602 0.376008 2.72256 1.56121 0.895234 0.947631 0.110588 0.494308 0.905766 0.818949
32 66.7339 65.0995 1.26125e-16 0.0146556 5.01857 4.08916 0.247506 0.268369 0 0.103938 0.247506 0.386962 0.300167 0.32032 2.46979 1.53867 0.616131 0.746924 0.710921 0.562328 0.921564 0.920914
33 66.7339 65.1313 1.7751e-17 0.0141074 5.14496 4.23526 0.12112 0.141087 0 0.0514232 0.12112 0.206617 0.495012 0.409047 3.33343 1.95559 0.963693 1.07137 0.100056 0.531371 0.252772 0.26787
34 66.7339 65.2215 1.78444e-16 0.014084 4.91852 3.94539 0.347561 0.294796 0 0.0972447 0.347561 0.406125 0.0895234 0.208123 3.12279 1.92711 0.0315965 0.507428 1.00582 0.585549 0.668792 0.717174
35 66.7339 65.0571 9.34261e-18 0.0147338 5.01331 4.15227 0.252772 0.248121 0 0.101249 0.252772 0.364104 0.189579 0.231887 2.97007 1.64656 0.874169 0.962233 0.0526608 0.483404 0.92683 0.828187
36 66.7339 65.275 1.69101e-16 0.0130644 5.24502 4.06171 0.0210643 0.167452 0 0.057176 0.0210643 0.237692 0.252772 0.21912 3.31236 2.05721 0.273836 0.643263 0.95316 0.635843 0.452883 0.50627
37 66.7339 65.0896 1.14914e-16 0.0148036 4.94485 4.06466 0.321231 0.29529 0 0.111116 0.321231 0.421209 0.0737251 0.185443 2.46979 1.5003 0.80571 0.841403 0.647728 0.589028 0.947894 0.948483
38 66.7339 65.141 1.36402e-16 0.0141911 5.1081 4.10415 0.157982 0.233268 0 0.0839012 0.157982 0.33136 0.063193 0.122428 2.56458 1.58885 1.06375 1.0067 0.768848 0.686858 0.647728 0.699316
39 66.7339 65.1985 5.60556e-18 0.0134662 5.19235 4.10202 0.0737251 0.180971 0 0.0763017 0.0737251 0.270739 0.163248 0.148997 3.8495 2.09926 0.157982 0.657912 0.0315965 0.35706 0.990023 0.838794
40 66.7339 65.1837 9.71631e-17 0.0139579 5.09757 4.17242 0.168515 0.157131 0 0.0468692 0.168515 0.217958 0.473947 0.423394 3.11225 1.94273 0.858371 0.970721 0.547672 0.617516 0.105322 0.21806
41 66.7339 65.045 1.04637e-16 0.0151059 4.95012 4.17143 0.315965 0.254251 0 0.0909041 0.315965 0.360261 0.284368 0.333084 2.18542 1.44062 1.4587 1.17229 0.589801 0.69761 0.431819 0.527828
42 66.7339 65.1874 1.40139e-16 0.0136395 5.24502 4.09427 0.0210643 0.201872 0 0.078588 0.0210643 0.294099 0.14745 0.134852 2.88055 1.72945 0.521342 0.736284 0.789912 0.601225 0.905766 0.892454
43 66.7339 65.2341 1.32665e-16 0.0133244 5.25028 4.094 0.0157982 0.16951 0 0.0634804 0.0157982 0.246314 0.321231 0.261448 3.24917 1.97509 0.326497 0.676192 0.747783 0.56995 0.605599 0.611324
44 66.7339 65.2132 1.72838e-16 0.0138442 5.07124 4.04155 0.194845 0.230564 0 0.0759659 0.194845 0.320375 0.24224 0.269459 2.87001 1.82874 0.531874 0.740038 0.974225 0.662588 0.452883 0.540725
45 66.7339 65.1763 4.57788e-17 0.0135931 5.22922 4.11417 0.0368626 0.190678 0 0.0788402 0.0368626 0.283112 0.063193 0.0693259 3.35976 1.85649 0.542406 0.809871 0.258038 0.478627 1.00582 0.899852
46 66.7339 65.1508 8.9689e-17 0.0143551 4.96065 4.02806 0.305433 0.27618 0 0.103516 0.305433 0.394051 0.194845 0.261261 3.05959 1.78242 0.252772 0.625196 0.505544 0.464074 0.947894 0.895109
47 66.7339 65.1224 8.5952e-17 0.0145149 5.00278 4.19376 0.263304 0.191039 0 0.0535302 0.263304 0.259085 0.105322 0.185101 2.77522 1.71948 1.56403 1.3398 0.484479 0.726056 0.0737251 0.223321
48 66.7339 65.3008 1.13046e-16 0.0135085 4.92905 3.97864 0.337029 0.219048 0 0.0586041 0.337029 0.291161 0.179047 0.26172 3.97062 2.43034 0.0157982 0.577281 0.637196 0.498288 0.126386 0.211018
49 66.7339 65.2581 1.05571e-16 0.0130712 5.26081 4.17857 0.00526608 0.0989023 0 0.0256147 0.00526608 0.137588 0.100056 0.0939243 3.50194 2.12679 1.00582 1.09947 0.595067 0.682569 0.0579269 0.175807
50 66.7339 65.1477 1.2052e-16 0.0143197 5.02911 4.14736 0.236974 0.2057 0 0.060808 0.236974 0.280828 0.0473947 0.136954 2.6857 1.68804 1.46397 1.2691 0.679324 0.753752 0.152716 0.299515
51 66.7339 65.1785 4.11075e-17 0.0135746 5.25555 4.17443 0.0105322 0.147038 0 0.0601261 0.0105322 0.220739 0.300167 0.23203 3.43875 1.97573 0.710921 0.927042 0.231708 0.514094 0.574003 0.525528
52 66.7339 65.3271 8.31492e-17 0.0127252 5.19235 4.1021 0.0737251 0.102112 0 0.0269927 0.0737251 0.14183 0.273836 0.245012 4.25499 2.57839 0.126386 0.656784 0.468681 0.486739 0.068459 0.135166
53 66.7339 65.1673 1.42008e-16 0.0137507 5.26608 4.20002 0 0.146784 0 0.0494554 1.42008e-16 0.20999 0.289634 0.232936 2.57511 1.65367 1.33758 1.17547 0.800444 0.755979 0.263304 0.381967
54 66.7339 65.1343 6.72668e-17 0.0143041 5.05544 4.1871 0.210643 0.181228 0 0.0575953 0.210643 0.253127 0.247506 0.267331 2.97534 1.80522 1.26913 1.19208 0.379158 0.648834 0.184313 0.273642
55 66.7339 65.3041 6.16612e-17 0.0128922 5.14496 4.02483 0.12112 0.169723 0 0.0591687 0.12112 0.241783 0.063193 0.0973574 4.2234 2.45673 0.0105322 0.593775 0.347561 0.421083 0.500278 0.455889
