0 60.48 7.07845e-17 11.52 0 0 7.07845e-17 0 8.66095 0.776779 0.797972 1.2843
0 54.7946 0.0293501 11.1189 0.258294 0.0359002 0.323545 0.0272234 7.94911 1.69153 0.351048 1.1
0 63.3237 5.33112e-17 8.67625 0 0 5.33112e-17 0 6.52297 0.585029 0.60099 0.967268
0 56.2484 0.0324678 9.71641 0.201893 0.0374449 0.271806 0.024579 7.07392 1.54875 0.264818 0.804346
1 60.48 7.91577e-17 11.52 0 0 7.91577e-17 0.00156682 5.07916 3.16016 0.892366 2.38675
1 53.649 0.0318513 12.0397 0.433067 0.0885368 0.553455 0.0371177 6.25779 3.27486 0.529431 1.9405
1 59.6919 8.45731e-17 12.3081 0 0 8.45731e-17 0.00167401 5.42663 3.37636 0.953415 2.55004
1 53.183 0.0311589 12.4835 0.456659 0.0883764 0.576194 0.0382864 6.342 3.45146 0.563825 2.08796
2 60.48 1.10419e-16 11.52 0 0 1.10419e-16 0.00241892 7.40892 1.46732 1.24478 1.39657
2 54.593 0.0302466 11.2309 0.342166 0.0441918 0.416605 0.0414236 7.30721 2.13821 0.519945 1.22407
2 62.8957 8.72641e-17 9.10428 0 0 8.72641e-17 0.00191168 5.85529 1.15963 0.983751 1.10371
2 55.8576 0.0326772 10.0309 0.27329 0.0449833 0.35095 0.0366289 6.75036 1.89678 0.399357 0.947767
3 60.48 1.65711e-16 11.52 0 0 1.65711e-16 0.0044376 4.75734 3.25492 1.86811 1.63519
3 54.0095 0.0320588 11.667 0.473724 0.0642783 0.570061 0.0633248 6.07049 3.28674 0.785977 1.46042
3 61.2994 1.53925e-16 10.7006 0 0 1.53925e-16 0.00412196 4.41896 3.0234 1.73523 1.51888
3 54.4711 0.0327345 11.2379 0.439949 0.0641153 0.536799 0.0603881 6.00555 3.10056 0.721458 1.3499
4 60.48 1.18423e-16 11.52 0 0 1.18423e-16 0.00588165 5.49238 2.54664 1.33502 2.14008
4 53.9896 0.0315865 11.6978 0.448956 0.075907 0.55645 0.0490385 6.41243 2.83635 0.598709 1.80126
