# Simulation number	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
700	5.996919E+07	1.476192E+03	1.102981E+07	3.397952E+05	0.000000E+00	3.412714E+05	1.060540E+06	8.403560E+06	3.380394E+05	1.176804E+06	5.086274E+04
701	5.996328E+07	6.966970E+03	1.027567E+07	1.094352E+06	0.000000E+00	1.101319E+06	9.178101E+05	7.341995E+06	1.258049E+05	1.636345E+06	2.537157E+05
702	5.996207E+07	6.024843E+03	1.054845E+07	8.237277E+05	0.000000E+00	8.297525E+05	8.565527E+05	4.855949E+06	3.129397E+06	4.717661E+05	1.234782E+06
703	5.994319E+07	4.651501E+03	1.062583E+07	7.665917E+05	0.000000E+00	7.712432E+05	4.072875E+05	6.881895E+06	4.817927E+05	1.369003E+06	1.485856E+06
704	5.992824E+07	4.891443E+03	1.077140E+07	6.357332E+05	0.000000E+00	6.406246E+05	6.936203E+03	5.900539E+06	2.482718E+06	1.289277E+05	2.252280E+06
705	5.995711E+07	1.698672E+03	1.109390E+07	2.875535E+05	0.000000E+00	2.892522E+05	7.353281E+05	7.026981E+06	2.258664E+06	5.584269E+05	5.144995E+05
706	5.994102E+07	3.705646E+03	1.080575E+07	5.897925E+05	0.000000E+00	5.934981E+05	3.204799E+05	6.259596E+06	3.118345E+06	9.297335E+05	1.775946E+05
707	5.993731E+07	4.868043E+03	1.056504E+07	8.330495E+05	0.000000E+00	8.379175E+05	2.580573E+05	5.888086E+06	7.923065E+05	1.669414E+06	1.957181E+06
708	5.996885E+07	7.091116E+03	1.035596E+07	1.008375E+06	0.000000E+00	1.015466E+06	1.039275E+06	6.640771E+06	1.781131E+06	8.541957E+05	4.058319E+04
709	5.996603E+07	5.714901E+03	1.060186E+07	7.666636E+05	0.000000E+00	7.723785E+05	9.817444E+05	6.389511E+06	7.712431E+05	3.345186E+05	2.124844E+06
