simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
299	5.834382E+07	2.480181E+04	1.066419E+07	7.339507E+05	4.329580E+04	8.020483E+05	7.175477E+05	6.019553E+06	2.791079E+06	6.918530E+05	4.441390E+05
300	5.817456E+07	2.878720E+04	1.058416E+07	9.628348E+05	6.364072E+04	1.055263E+06	9.198204E+05	4.632265E+06	2.306614E+06	8.310644E+05	1.894321E+06
301	5.845286E+07	2.201661E+04	1.074998E+07	5.564209E+05	2.901410E+04	6.074516E+05	2.723409E+05	6.236183E+06	1.235115E+06	1.264197E+06	1.742093E+06
302	5.815012E+07	2.767068E+04	1.081362E+07	7.686884E+05	5.154477E+04	8.479038E+05	1.359000E+05	6.025438E+06	2.646292E+06	3.302894E+05	1.675637E+06
303	5.842464E+07	2.631361E+04	1.022436E+07	1.077896E+06	5.825025E+04	1.162460E+06	2.151326E+05	5.851309E+06	2.312996E+06	1.307834E+06	5.370717E+05
304	5.855246E+07	2.246103E+04	1.059255E+07	6.086275E+05	3.025677E+04	6.613453E+05	3.729673E+05	7.639276E+06	5.230024E+05	7.599683E+05	1.297291E+06
305	5.817728E+07	2.739425E+04	1.064429E+07	9.051331E+05	5.942644E+04	9.919538E+05	8.516156E+05	4.718319E+06	3.154047E+06	8.814502E+05	1.038810E+06
306	5.815492E+07	2.734877E+04	1.066774E+07	9.057536E+05	5.893629E+04	9.920387E+05	2.972538E+05	4.825463E+06	3.257719E+06	1.028071E+06	1.259182E+06
307	5.852456E+07	2.676492E+04	1.005359E+07	1.146254E+06	5.849891E+04	1.231518E+06	6.141813E+05	6.197672E+06	1.068705E+06	1.247995E+06	9.249998E+05
308	5.855832E+07	2.326849E+04	1.036326E+07	8.231027E+05	3.970113E+04	8.860724E+05	1.330080E+05	7.124514E+06	1.171821E+06	1.239159E+06	6.947309E+05
309	5.840394E+07	2.192029E+04	1.097736E+07	3.819573E+05	2.166276E+04	4.255404E+05	3.388765E+05	7.507410E+06	2.275051E+06	2.614244E+05	5.945709E+05
310	5.845881E+07	2.370888E+04	1.068747E+07	6.041462E+05	3.265339E+04	6.605085E+05	9.111936E+04	7.827822E+06	1.131023E+06	3.543296E+05	1.283131E+06
311	5.827392E+07	2.649825E+04	1.064304E+07	8.167159E+05	5.081715E+04	8.940313E+05	6.633222E+05	5.814633E+06	2.635156E+06	5.747670E+05	9.551190E+05
312	5.851720E+07	2.162992E+04	1.081277E+07	4.318742E+05	2.257176E+04	4.760759E+05	5.723927E+05	7.690669E+06	7.823111E+05	4.685433E+05	1.298812E+06
313	5.824009E+07	2.427238E+04	1.082611E+07	6.818900E+05	4.156943E+04	7.477318E+05	4.980268E+05	4.833582E+06	3.307846E+06	1.241798E+06	9.448213E+05
314	5.836074E+07	2.761488E+04	1.031027E+07	1.052955E+06	6.025481E+04	1.140825E+06	2.494469E+05	5.904167E+06	1.814330E+06	9.678481E+05	1.374424E+06
315	5.851556E+07	2.346690E+04	1.047635E+07	7.537624E+05	3.865688E+04	8.158862E+05	5.718141E+05	6.867025E+06	1.710556E+06	9.261817E+05	4.007540E+05
316	5.852596E+07	2.494419E+04	1.032655E+07	8.846401E+05	4.473191E+04	9.543162E+05	7.420353E+04	7.674340E+06	1.141888E+06	7.200777E+05	7.160194E+05
317	5.825752E+07	2.503553E+04	1.077735E+07	7.104125E+05	4.360059E+04	7.790486E+05	8.939268E+05	4.611795E+06	2.555442E+06	1.190566E+06	1.525556E+06
