simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
438	5.942201E+07	2.410362E+04	9.717665E+06	6.111647E+05	3.731076E+04	6.725791E+05	2.781699E+05	5.928282E+06	1.848148E+06	7.973914E+05	8.656376E+05
439	5.932893E+07	2.174120E+04	1.027409E+07	1.733185E+05	1.182721E+04	2.068869E+05	6.058707E+05	6.474427E+06	1.669267E+06	2.250961E+05	1.299370E+06
440	6.012881E+07	2.512121E+04	8.794611E+06	8.144446E+05	4.862782E+04	8.881936E+05	7.568830E+05	5.828316E+06	1.328674E+06	8.099854E+05	7.074466E+04
441	5.787420E+07	2.319465E+04	1.152887E+07	3.608416E+05	2.282517E+04	4.068614E+05	9.278782E+05	5.912873E+06	2.239260E+06	4.627448E+05	1.986039E+06
442	6.037019E+07	2.245195E+04	8.883411E+06	5.061582E+05	3.022035E+04	5.588305E+05	3.911568E+05	5.844187E+06	1.535500E+06	9.256850E+05	1.868714E+05
443	5.915013E+07	2.359188E+04	1.000832E+07	5.947470E+05	3.569723E+04	6.540361E+05	2.620304E+05	5.748291E+06	2.253662E+06	9.500922E+05	7.942086E+05
444	5.836937E+07	2.567164E+04	1.061521E+07	7.565890E+05	4.578815E+04	8.280488E+05	1.021067E+05	5.757883E+06	2.350222E+06	8.972567E+05	1.507688E+06
445	5.918429E+07	2.569721E+04	9.605754E+06	9.423504E+05	5.475533E+04	1.022803E+06	5.334304E+05	5.362958E+06	2.170472E+06	1.193896E+06	3.449809E+05
446	5.757904E+07	2.591016E+04	1.135955E+07	8.007822E+05	4.740801E+04	8.741004E+05	6.102833E+05	5.116441E+06	2.658245E+06	1.100907E+06	1.873611E+06
447	6.097507E+07	2.319086E+04	8.249552E+06	5.316200E+05	3.260742E+04	5.874183E+05	3.694050E+05	6.194112E+06	7.959675E+05	6.776766E+05	2.123793E+05
448	6.016098E+07	2.538811E+04	8.844934E+06	7.346321E+05	4.543943E+04	8.054597E+05	2.773730E+05	6.407054E+06	1.159147E+06	5.154571E+05	4.858804E+05
449	6.003267E+07	2.344978E+04	9.213251E+06	5.123088E+05	3.177283E+04	5.675314E+05	1.356532E+05	5.840308E+06	1.161215E+06	8.687612E+05	1.207265E+06
450	5.684702E+07	2.435177E+04	1.241118E+07	4.975383E+05	3.062739E+04	5.525174E+05	5.191877E+05	5.697550E+06	3.186435E+06	6.790896E+05	2.328839E+06
451	5.652265E+07	2.701702E+04	1.238844E+07	8.214204E+05	4.914382E+04	8.975812E+05	9.626846E+05	5.997343E+06	3.354668E+06	4.165128E+05	1.657173E+06
452	5.955917E+07	2.185836E+04	9.953044E+06	2.606479E+05	1.671309E+04	2.992194E+05	5.741912E+05	6.046116E+06	1.511556E+06	5.502173E+05	1.270909E+06
453	5.626563E+07	2.644392E+04	1.257062E+07	8.977362E+05	5.149308E+04	9.756732E+05	7.517259E+05	4.868180E+06	3.845551E+06	1.228598E+06	1.876502E+06
454	5.824731E+07	2.374536E+04	1.084535E+07	6.588721E+05	3.833123E+04	7.209487E+05	7.088248E+05	4.789171E+06	2.580418E+06	1.374856E+06	1.392026E+06
455	6.056617E+07	2.156050E+04	8.954629E+06	2.517020E+05	1.593727E+04	2.891997E+05	4.600861E+05	6.696629E+06	1.264944E+06	2.845609E+05	2.483952E+05
456	5.893158E+07	2.815494E+04	9.724057E+06	1.066063E+06	6.384794E+04	1.158066E+06	4.558101E+05	5.320517E+06	1.322713E+06	1.038533E+06	1.586422E+06
457	5.856345E+07	2.619106E+04	1.037018E+07	8.038391E+05	4.876008E+04	8.787902E+05	5.325318E+05	5.564724E+06	1.859362E+06	8.525461E+05	1.560957E+06
458	5.721149E+07	2.569123E+04	1.192785E+07	6.057781E+05	3.756194E+04	6.690312E+05	7.461037E+05	6.471046E+06	2.688212E+06	1.854363E+05	1.836984E+06
459	5.750820E+07	2.827733E+04	1.107662E+07	1.134926E+06	6.556258E+04	1.228766E+06	2.446981E+05	5.072824E+06	2.774997E+06	1.308661E+06	1.675388E+06
460	5.746099E+07	2.323951E+04	1.174296E+07	5.517119E+05	3.239032E+04	6.073418E+05	7.276035E+05	5.349795E+06	3.523311E+06	1.007752E+06	1.134459E+06
461	6.118008E+07	2.111006E+04	8.447978E+06	1.516553E+05	1.010302E+04	1.828684E+05	5.460227E+05	6.579821E+06	3.576663E+05	2.760130E+05	6.884197E+05
462	5.709149E+07	2.879488E+04	1.146870E+07	1.157347E+06	6.700426E+04	1.253146E+06	8.271938E+04	5.203128E+06	3.048863E+06	1.244984E+06	1.888943E+06
463	5.771967E+07	2.522612E+04	1.132900E+07	6.967440E+05	4.180879E+04	7.637789E+05	5.154701E+05	5.321510E+06	2.623574E+06	9.915980E+05	1.876776E+06
464	5.574596E+07	2.525126E+04	1.336236E+07	6.391969E+05	3.765763E+04	7.021058E+05	1.150298E+06	4.959500E+06	3.671333E+06	9.186015E+05	2.662542E+06
465	5.945781E+07	2.569260E+04	9.386199E+06	8.914333E+05	5.266191E+04	9.697878E+05	4.383337E+05	5.269228E+06	1.634650E+06	1.206842E+06	8.371101E+05
466	5.836930E+07	2.660967E+04	1.043292E+07	9.285579E+05	5.489049E+04	1.010058E+06	6.576850E+05	5.406865E+06	2.235648E+06	9.874048E+05	1.145271E+06
467	5.915316E+07	2.366111E+04	1.020031E+07	4.063047E+05	2.613141E+04	4.560972E+05	7.006308E+05	6.539563E+06	1.438136E+06	2.055206E+05	1.316403E+06
468	5.853477E+07	2.698141E+04	1.026592E+07	9.307490E+05	5.549614E+04	1.013227E+06	6.698097E+05	4.963131E+06	1.563586E+06	1.170588E+06	1.898729E+06
