simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
37	5.754103E+07	7.571250E+03	1.259995E+07	1.191722E+06	0.000000E+00	1.199293E+06	1.277958E+06	3.787786E+06	4.077453E+06	1.797129E+06	1.659620E+06
38	6.173878E+07	2.411054E+03	9.181234E+06	4.178485E+05	0.000000E+00	4.202596E+05	3.672204E+05	5.933191E+06	1.091581E+06	8.672440E+05	9.219978E+05
39	5.957659E+07	4.265927E+03	1.118556E+07	5.738468E+05	0.000000E+00	5.781127E+05	2.390698E+05	6.660146E+06	3.426424E+06	2.617450E+05	5.981760E+05
40	6.231861E+07	4.792540E+03	8.396742E+06	6.201294E+05	0.000000E+00	6.249219E+05	5.775275E+05	6.956351E+06	3.833643E+05	1.051723E+05	3.743268E+05
41	6.069454E+07	4.683857E+03	1.002582E+07	6.152237E+05	0.000000E+00	6.199076E+05	4.786814E+05	6.797892E+06	2.368830E+06	1.732232E+05	2.071957E+05
42	6.053872E+07	3.611982E+03	1.012874E+07	6.691971E+05	0.000000E+00	6.728091E+05	1.760783E+05	4.974131E+06	2.390360E+06	1.631660E+06	9.565096E+05
43	6.193394E+07	3.321121E+03	8.922422E+06	4.805867E+05	0.000000E+00	4.839078E+05	1.361933E+05	6.723512E+06	1.290942E+06	4.640166E+05	3.077583E+05
44	6.237293E+07	3.572743E+03	8.412869E+06	5.508923E+05	0.000000E+00	5.544650E+05	5.604012E+05	6.180708E+06	8.426825E+05	7.598803E+05	6.919698E+04
45	6.131240E+07	5.153416E+03	9.192384E+06	8.303331E+05	0.000000E+00	8.354865E+05	4.338329E+05	5.387426E+06	1.819035E+06	1.370758E+06	1.813319E+05
46	6.089988E+07	2.420933E+03	1.004023E+07	3.977305E+05	0.000000E+00	4.001514E+05	6.613992E+05	5.813171E+06	1.005114E+06	7.028856E+05	1.857664E+06
47	5.929558E+07	3.740844E+03	1.142633E+07	6.146210E+05	0.000000E+00	6.183618E+05	7.064124E+05	5.033229E+06	2.221162E+06	1.086448E+06	2.379080E+06
48	6.138232E+07	5.485424E+03	9.124465E+06	8.279983E+05	0.000000E+00	8.334837E+05	3.790391E+04	5.845296E+06	3.973191E+05	1.029647E+06	1.814299E+06
49	5.813265E+07	3.750366E+03	1.271975E+07	4.841215E+05	0.000000E+00	4.878719E+05	9.723536E+05	6.160112E+06	3.947705E+06	7.340937E+04	1.566169E+06
50	5.967288E+07	6.227052E+03	1.085240E+07	8.087665E+05	0.000000E+00	8.149936E+05	6.661947E+05	6.600816E+06	1.324171E+06	1.598721E+05	2.101343E+06
51	5.958953E+07	6.401314E+03	1.075267E+07	9.916626E+05	0.000000E+00	9.980639E+05	6.826447E+04	5.035453E+06	2.086650E+06	1.397052E+06	2.165250E+06
52	5.805920E+07	5.712819E+03	1.238206E+07	8.932933E+05	0.000000E+00	8.990061E+05	2.781437E+05	4.921546E+06	3.810433E+06	1.310550E+06	2.061383E+06
53	6.245226E+07	1.183959E+03	8.708289E+06	1.785381E+05	0.000000E+00	1.797221E+05	3.814513E+03	6.983183E+06	1.773607E+05	2.208917E+05	1.323039E+06
54	6.052898E+07	5.280464E+03	9.927124E+06	8.788886E+05	0.000000E+00	8.841691E+05	6.668108E+05	4.676021E+06	1.829612E+06	1.620577E+06	1.134103E+06
55	5.794481E+07	4.777397E+03	1.269494E+07	6.957429E+05	0.000000E+00	7.005203E+05	9.294557E+05	5.278322E+06	3.867224E+06	7.015129E+05	1.918423E+06
56	6.102819E+07	2.832416E+03	9.746594E+06	5.626538E+05	0.000000E+00	5.654862E+05	4.383515E+05	4.989467E+06	2.195493E+06	1.570929E+06	5.523537E+05
57	5.901573E+07	5.424145E+03	1.161841E+07	7.007099E+05	0.000000E+00	7.061340E+05	1.162692E+06	6.235406E+06	2.529844E+06	1.102188E+05	1.580245E+06
58	5.896082E+07	4.971816E+03	1.170422E+07	6.702463E+05	0.000000E+00	6.752181E+05	9.856101E+05	6.055202E+06	3.532832E+06	3.161653E+05	8.144147E+05
59	6.049656E+07	4.261586E+02	1.078343E+07	5.985886E+04	0.000000E+00	6.028502E+04	3.678858E+05	6.747265E+06	2.233909E+06	4.562782E+04	1.388744E+06
60	6.310207E+07	1.252161E+03	7.966313E+06	2.706331E+05	0.000000E+00	2.718853E+05	3.978544E+04	6.382013E+06	3.970159E+05	8.628817E+05	2.846170E+05
61	6.078529E+07	4.213678E+03	9.909106E+06	6.416614E+05	0.000000E+00	6.458751E+05	9.057302E+05	5.514661E+06	1.430401E+06	8.342141E+05	1.224100E+06
62	6.065842E+07	5.035748E+03	9.863278E+06	8.135380E+05	0.000000E+00	8.185737E+05	6.526237E+05	5.065367E+06	1.860925E+06	1.356104E+06	9.282578E+05
63	6.211915E+07	5.221273E+03	8.369621E+06	8.462779E+05	0.000000E+00	8.514992E+05	6.007862E+04	5.545555E+06	8.108991E+05	1.427354E+06	5.257346E+05
64	6.205115E+07	3.737940E+03	8.665405E+06	6.199820E+05	0.000000E+00	6.237199E+05	1.960027E+05	5.681004E+06	3.893511E+05	1.130510E+06	1.268537E+06
65	6.047268E+07	6.951480E+03	9.823506E+06	1.037130E+06	0.000000E+00	1.044081E+06	6.917095E+05	5.361870E+06	2.243952E+06	1.211281E+06	3.146930E+05
66	6.166594E+07	3.436416E+03	9.227094E+06	4.437987E+05	0.000000E+00	4.472351E+05	3.369581E+05	7.068894E+06	3.736612E+05	6.883288E+04	1.378748E+06
